Date,WMO name,maxTemp,rainSum,maxWindSpeed,snowFallSum
2020-01-01,clear,3.5,0.0,5.2,0.0
2020-01-02,snow,1.0,0.0,6.0,2.5
2020-01-03,overcast,2.2,1.2,7.1,0.0
2020-01-04,clear,4.0,0.0,4.8,0.0
2020-01-05,snow,0.5,0.0,5.5,1.8
2020-01-06,overcast,1.8,0.5,8.0,0.0
2020-01-07,clear,3.0,0.0,9.2,0.0
2020-01-08,overcast,2.7,2.0,10.1,0.0
2020-01-09,clear,5.0,0.0,6.3,0.0
2020-01-10,snow,0.0,0.0,7.5,0.6
2020-01-11,clear,6.1,0.0,4.0,0.0
2020-01-12,overcast,4.5,3.0,12.0,0.0
2020-01-13,clear,7.0,0.0,5.0,0.0
2020-01-14,overcast,6.5,1.0,9.0,0.0
2020-01-15,clear,5.2,0.0,6.6,0.0
2020-01-16,overcast,3.3,0.2,8.5,0.0
2020-01-17,clear,2.9,0.0,7.9,0.0
2020-01-18,overcast,1.7,4.0,11.2,0.0
2020-01-19,clear,0.5,0.0,5.3,0.0
2020-01-20,overcast,2.0,0.0,6.8,0.0
2020-01-21,clear,3.2,0.0,7.1,0.0
2020-01-22,overcast,2.8,0.0,8.3,0.0
2020-01-23,clear,4.0,0.0,6.0,0.0
2020-01-24,overcast,3.6,0.0,5.9,0.0
2020-01-25,clear,5.4,0.0,7.0,0.0
2020-01-26,overcast,6.0,0.0,9.5,0.0
2020-01-27,clear,4.9,0.0,6.2,0.0
2020-01-28,overcast,3.7,0.3,10.0,0.0
2020-01-29,clear,2.2,0.0,5.1,0.0
2020-01-30,overcast,1.9,0.0,6.4,0.0
2020-01-31,clear,0.8,0.0,7.8,0.0
2020-10-01,overcast,15.0,2.5,20.0,0.0
2020-10-02,overcast,16.1,0.0,18.5,0.0
2020-10-03,clear,17.3,0.0,14.4,0.0
2020-10-04,overcast,14.8,5.0,22.1,0.0
2020-10-05,clear,18.0,0.0,12.2,0.0
2020-10-06,overcast,16.5,1.2,11.8,0.0
2020-10-07,clear,19.0,0.0,10.0,0.0
2020-10-08,overcast,15.5,0.8,9.9,0.0
2020-10-09,clear,17.0,0.0,8.7,0.0

